Offer_ID,Application_ID,Offer_Date,Stipend,Accepted
O0664,A2356,2025-10-03,25000,No
O0665,A2533,2025-12-25,25000,Yes
O0666,A2276,2025-07-22,12000,No
O0667,A2019,2025-02-20,25000,No
O0668,A0712,2025-03-09,12000,No
O0669,A0212,2025-04-22,5000,No
O0670,A2458,2025-12-09,15000,No
O0671,A1428,2025-12-11,25000,No
O0672,A2192,2025-12-01,8000,No
O0673,A1601,2025-08-25,20000,No
O0674,A2025,2025-10-09,15000,Yes
O0675,A0933,2025-01-29,8000,Yes
O0676,A2117,2025-11-25,25000,Yes
O0677,A2712,2025-09-19,5000,No
O0678,A0837,2025-07-22,12000,No
O0679,A1091,2025-03-17,20000,No
O0680,A0716,2025-12-15,20000,Yes
O0681,A0810,2025-09-22,25000,No
O0682,A0586,2025-09-04,12000,No
O0683,A1593,2025-09-22,20000,Yes
O0684,A1189,2025-05-26,20000,Yes
O0685,A2575,2025-03-12,20000,Yes
O0686,A2739,2025-12-10,12000,Yes
O0687,A1323,2025-08-04,15000,Yes
O0688,A2247,2025-05-05,12000,Yes
O0689,A1849,2025-06-18,15000,No
O0690,A1032,2025-07-20,25000,No
O0691,A0330,2025-07-12,5000,No
O0692,A2420,2025-05-12,20000,Yes
O0693,A2664,2025-03-21,5000,No
O0694,A1333,2025-03-12,5000,Yes
O0695,A1622,2025-01-17,10000,No
O0696,A2000,2025-05-02,10000,Yes
O0697,A1807,2025-09-18,8000,No
O0698,A2896,2025-11-07,5000,Yes
O0699,A1891,2025-10-25,10000,Yes
O0700,A0221,2025-12-14,15000,Yes
O0701,A0423,2025-08-31,15000,Yes
O0702,A2188,2025-12-17,12000,No
O0703,A2743,2025-03-16,20000,No
O0704,A1596,2025-10-27,12000,No
O0705,A0689,2025-06-19,15000,Yes
O0706,A2487,2025-11-09,8000,Yes
O0707,A2872,2025-11-08,5000,No
O0708,A1273,2025-11-25,20000,No
O0709,A0698,2025-07-18,5000,No
O0710,A0972,2025-06-13,10000,No
O0711,A1702,2025-06-14,25000,No
O0712,A2047,2025-09-22,15000,No
O0713,A2793,2025-01-11,15000,Yes
O0714,A1159,2025-11-01,5000,No
O0715,A0539,2025-02-10,8000,No
O0716,A1159,2025-02-20,25000,Yes
O0717,A2049,2025-12-11,10000,Yes
O0718,A0948,2025-12-13,5000,No
O0719,A2862,2025-09-29,20000,Yes
O0720,A0698,2025-08-20,8000,Yes
O0721,A0331,2025-05-20,12000,No
O0722,A0880,2025-06-09,8000,No
O0723,A0125,2025-01-16,25000,No
O0724,A2563,2025-10-11,10000,No
O0725,A2344,2025-03-26,8000,No
O0726,A2462,2025-12-19,10000,Yes
O0727,A0545,2025-10-11,15000,Yes
O0728,A0941,2025-03-18,12000,No
O0729,A1210,2025-08-27,25000,Yes
O0730,A0642,2025-01-13,10000,Yes
O0731,A1111,2025-09-23,8000,No
O0732,A1059,2025-06-17,5000,No
O0733,A1729,2025-12-02,12000,No
O0734,A1790,2025-01-15,15000,Yes
O0735,A2605,2025-06-30,5000,No
O0736,A0484,2025-11-14,5000,No
O0737,A0573,2025-01-24,12000,Yes
O0738,A1514,2025-08-03,12000,No
O0739,A2105,2025-03-28,12000,Yes
O0740,A2954,2025-04-28,25000,No
O0741,A2719,2025-04-19,5000,No
O0742,A2476,2025-05-06,15000,Yes
O0743,A1776,2025-03-15,15000,Yes
O0744,A0143,2025-07-09,25000,No
O0745,A0554,2025-09-19,8000,No
O0746,A2287,2025-09-26,20000,Yes
O0747,A2791,2025-05-02,8000,No
O0748,A2212,2025-06-13,12000,No
O0749,A0780,2025-08-10,10000,Yes
O0750,A1745,2025-07-01,10000,No
O0751,A1242,2025-11-29,20000,Yes
O0752,A1035,2025-01-16,12000,Yes
O0753,A0287,2025-04-23,8000,Yes
O0754,A0019,2025-05-17,12000,No
O0755,A0576,2025-08-17,5000,No
O0756,A0387,2025-01-13,15000,Yes
O0757,A2161,2025-08-19,8000,Yes
O0758,A0032,2025-12-16,20000,Yes
O0759,A0943,2025-07-09,5000,Yes
O0760,A0964,2025-10-24,20000,Yes
O0761,A1491,2025-12-08,20000,No
O0762,A0803,2025-02-03,5000,No
O0763,A2022,2025-06-17,15000,No
O0764,A0485,2025-09-12,10000,No
O0765,A2614,2025-04-06,8000,No
O0766,A1472,2025-02-04,8000,Yes
O0767,A1590,2025-01-22,15000,No
O0768,A1271,2025-07-08,20000,No
O0769,A0388,2025-07-25,10000,No
O0770,A2742,2025-08-11,8000,Yes
O0771,A0147,2025-09-10,8000,No
O0772,A0663,2025-11-20,8000,No
O0773,A1389,2025-11-27,5000,No
O0774,A2306,2025-06-05,5000,No
O0775,A2798,2025-10-06,15000,Yes
O0776,A1613,2025-11-18,5000,No
O0777,A0338,2025-12-11,5000,Yes
O0778,A1839,2025-12-25,10000,Yes
O0779,A1229,2025-01-27,12000,Yes
O0780,A2584,2025-10-10,5000,No
O0781,A2457,2025-01-21,12000,Yes
O0782,A1158,2025-09-14,25000,No
O0783,A1967,2025-05-05,25000,Yes
O0784,A0644,2025-09-13,12000,Yes
O0785,A0961,2025-06-15,5000,Yes
O0786,A0570,2025-10-10,20000,No
O0787,A1478,2025-05-30,10000,No
O0788,A1346,2025-02-10,10000,No
O0789,A0343,2025-07-21,20000,Yes
O0790,A1674,2025-10-26,12000,Yes
O0791,A2473,2025-04-03,12000,No
O0792,A0130,2026-01-01,25000,No
O0793,A2718,2025-12-29,12000,No
O0794,A2268,2025-03-20,5000,Yes
O0795,A0293,2025-12-25,15000,Yes
O0796,A1392,2025-09-01,10000,No
O0797,A0973,2025-03-04,20000,No
O0798,A1016,2025-08-10,15000,No
O0799,A0449,2025-12-14,15000,No
O0800,A2681,2025-02-18,5000,No
